residencias_id,residencias
1,"Havana, Cuba"
2,"Aberdeen / Portland, OR"
3,"Albany, NY"
4,"Altdorf, Switzerland"
5,"Amenia, ND"
6,"Antwerp, Belgium / Stanton, OH"
7,Argentina
8,"Asarum, Sweden Brooklyn, NY"
9,"Ascot, Berkshire / Rochester, NY"
10,"Auburn, NY"
11,"Aughnacliff, Co Longford, Ireland New York, NY"
12,"Australia Fingal, ND"
13,Austria
14,"Austria Niagara Falls, NY"
15,Austria-Hungary
16,"Austria-Hungary / Germantown, Philadelphia, PA"
17,"Bangkok, Thailand / Roseville, IL"
18,"Barcelona, Spain / Havana, Cuba"
19,"Barre, Co Washington, VT"
20,"Basel, Switzerland"
21,"Bath, England / Massachusetts"
22,"Bayside, Queens, NY"
23,Belfast
24,"Belfast, NI"
25,"Belgium  Montreal, PQ"
26,"Belgium Detroit, MI"
27,"Belmont, MA"
28,"Bennington, VT"
29,"Bergen, Norway"
30,"Berne, Switzerland / Central City, IA"
31,"Birkdale, England Cleveland, Ohio"
32,"Bishopstoke, Hants / Fayette Valley, ID"
33,"Boston, MA"
34,"Bournemouth, England"
35,"Bournemouth, England Newark, NJ"
36,"Bournmouth, England"
37,"Brennes, Norway New York"
38,"Bridgerule, Devon"
39,"Bridgwater, Somerset, England"
40,"Brighton, MA"
41,"Brighton, Sussex"
42,"Bristol, Avon / Jacksonville, FL"
43,"Bristol, England / New Britain, CT"
44,"Bristol, England Cleveland, OH"
45,"Brockton, MA"
46,"Bromsgrove, England / Montreal, PQ"
47,"Bronx, NY"
48,"Brookline, MA"
49,"Brooklyn, NY"
50,"Broomfield, Chelmsford, England"
51,"Brunswick, ME"
52,"Bryn Mawr, PA"
53,"Bryn Mawr, PA, USA"
54,"Buenos Aires, Argentina / New Jersey, NJ"
55,"Buffalo, NY"
56,"Bulgaria Chicago, IL"
57,"Bulgaria Coon Rapids, IA"
58,"Calgary, AB"
59,"Cambridge, MA"
60,"Cape Town, South Africa / Seattle, WA"
61,"Catford, Kent / Detroit, MI"
62,"Chelsea, London"
63,"Chicago, IL"
64,"Cincinatti, OH"
65,"Clevedon, England"
66,"Co Athlone, Ireland New York, NY"
67,"Co Clare, Ireland Washington, DC"
68,"Co Cork, Ireland Charlestown, MA"
69,"Co Cork, Ireland Roxbury, MA"
70,"Co Limerick, Ireland Sherbrooke, PQ"
71,"Co Longford, Ireland New York, NY"
72,"Co Sligo, Ireland Hartford, CT"
73,"Co Sligo, Ireland New York, NY"
74,"Cologne, Germany"
75,"Columbus, OH"
76,"Cooperstown, NY"
77,"Copenhagen, Denmark"
78,Cornwall
79,"Cornwall / Akron, OH"
80,"Cornwall / Camden, NJ"
81,"Cornwall / Clear Creek, CO"
82,"Cornwall / Hancock, MI"
83,"Cornwall / Houghton, MI"
84,"Cornwall / Spokane, WA"
85,"Cornwall, England Houghton, MI"
86,Croatia
87,"Dagsas, Sweden Fower, MN"
88,"Deephaven, MN / Cedar Rapids, IA"
89,"Deer Lodge, MT"
90,"Denmark / New York, NY"
91,"Denmark Hill, Surrey / Chicago"
92,"Denver, CO"
93,"Detroit, MI"
94,"Devon, England Wichita, KS"
95,"Devonport, England"
96,"Dorchester, MA"
97,"Dorking, Surrey, England"
98,"Dowagiac, MI"
99,"Duluth, MN"
100,"East Bridgewater, MA"
101,"East Orange, NJ"
102,"East Providence, RI"
103,"Effington Rut, SD"
104,"Elizabeth, NJ"
105,"Elkins Park, PA"
106,"Elmira, NY / Orange, NJ"
107,England
108,"England / Bennington, VT"
109,"England / Detroit, MI"
110,"England / Hartford, CT"
111,"England / Philadelphia, PA"
112,"England / Sacramento, CA"
113,"England / San Francisco, CA"
114,"England Albion, NY"
115,"England Brooklyn, NY"
116,"England New York, NY"
117,"England Oglesby, IL"
118,"England Salt Lake City, Utah"
119,"Finland / Minneapolis, MN"
120,"Finland / Washington, DC"
121,"Finland Sudbury, ON"
122,"Folkstone, Kent / New York, NY"
123,"Fond du Lac, WI"
124,"Foresvik, Norway Portland, ND"
125,"Frankfort, KY"
126,"Gallipolis, Ohio / ? Paris / New York"
127,"Geneva, Switzerland / Radnor, PA"
128,"Germantown, Philadelphia, PA"
129,Glasgow
130,"Glasgow / Bangor, ME"
131,"Glen Ridge, NJ"
132,"Goteborg, Sweden / Rockford, IL"
133,"Goteborg, Sweden Huntley, IL"
134,Greece
135,"Green Bay, WI"
136,"Greenport, NY"
137,"Greensburg, PA"
138,"Greenwich, CT"
139,Guernsey
140,"Guernsey / Elizabeth, NJ"
141,"Guernsey / Montclair, NJ and/or Toledo, Ohio"
142,"Guernsey / Wilmington, DE"
143,"Guernsey, England / Edgewood, RI"
144,"Gunnislake, England / Butte, MT"
145,"Guntur, India / Benton Harbour, MI"
146,"Haddenfield, NJ"
147,"Halesworth, England"
148,"Halifax, NS"
149,"Hamilton, ON"
150,"Harrisburg, PA"
151,"Harrow, England"
152,"Harrow-on-the-Hill, Middlesex"
153,"Hartford, CT"
154,"Hartford, Huntingdonshire"
155,"Haverford, PA"
156,"Haverford, PA / Cooperstown, NY"
157,"Helsinki, Finland Ashtabula, Ohio"
158,"Hessle, Yorks"
159,"Holley, NY"
160,"Hong Kong New York, NY"
161,"Hornsey, England"
162,"Hudson, NY"
163,"Huntington, WV"
164,"Ilford, Essex / Winnipeg, MB"
165,"Ilfracombe, Devon"
166,"Illinois, USA"
167,"India / Pittsburgh, PA"
168,"India / Rapid City, SD"
169,"Indianapolis, IN"
170,Ireland
171,"Ireland Brooklyn, NY"
172,"Ireland Chicago, IL"
173,"Ireland New York, NY"
174,"Ireland Philadelphia, PA"
175,"Isle of Wight, England"
176,"Isleworth, England"
177,"Italy Philadelphia, PA"
178,"Jacksonville, FL"
179,"Janjgir, India / Pennsylvania"
180,"Karberg, Sweden Jerome Junction, AZ"
181,"Kilmacowen, Co Sligo, Ireland New York, NY"
182,"Kingston, Surrey"
