viaje_id,estado_id,nombre,sexo,edad,parientes,familiares,boleto,tarifa,cabina,embarque_id,bote,cuerpo,residencias
1,0,"Andrews, Mr. Thomas Jr",hombre,39,0,0,112050,0.0,A36,2,,,"Belfast, NI"
1,0,"Chisholm, Mr. Roderick Robert Crispin",hombre,,0,0,112051,0.0,,2,,,"Liverpool, England / Belfast"
1,0,"Fry, Mr. Richard",hombre,,0,0,112058,0.0,B102,2,,,
1,0,"Harrison, Mr. William",hombre,40,0,0,112059,0.0,B94,2,,110,
1,1,"Ismay, Mr. Joseph Bruce",hombre,49,0,0,112058,0.0,B52 B54 B56,2,C,,Liverpool
1,0,"Parr, Mr. William Henry Marsh",hombre,,0,0,112052,0.0,,2,,,Belfast
1,0,"Reuchlin, Jonkheer. John George",hombre,38,0,0,19972,0.0,,2,,,"Rotterdam, Netherlands"
1,0,"Carlsson, Mr. Frans Olof",hombre,33,0,0,695,5.0,B51 B53 B55,2,,,"New York, NY"
1,0,"Colley, Mr. Edward Pomeroy",hombre,47,0,0,5727,25.59,E58,2,,,"Victoria, BC"
1,1,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",mujer,55,2,0,11770,25.7,C101,2,2,,"New York, NY"
1,1,"Omont, Mr. Alfred Fernand",hombre,,0,0,F.C. 12998,25.74,,1,7,,"Paris, France"
1,1,"Leader, Dr. Alice (Farnham)",mujer,49,0,0,17465,25.93,D17,2,8,,"New York, NY"
1,1,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",mujer,48,0,0,17466,25.93,D17,2,8,,"Brooklyn, NY"
1,0,"Birnbaum, Mr. Jakob",hombre,25,0,0,13905,26.0,,1,,148,"San Francisco, CA"
1,0,"Case, Mr. Howard Brown",hombre,49,0,0,19924,26.0,,2,,,"Ascot, Berkshire / Rochester, NY"
1,0,"Jones, Mr. Charles Cresson",hombre,46,0,0,694,26.0,,2,,80,"Bennington, VT"
1,0,"Julian, Mr. Henry Forbes",hombre,50,0,0,113044,26.0,E60,2,,,London
1,0,"Maguire, Mr. John Edward",hombre,30,0,0,110469,26.0,C106,2,,,"Brockton, MA"
1,0,"Nicholson, Mr. Arthur Ernest",hombre,64,0,0,693,26.0,,2,,263,"Isle of Wight, England"
1,1,"Salomon, Mr. Abraham L",hombre,,0,0,111163,26.0,,2,1,,"New York, NY"
1,0,"Smith, Mr. Richard William",hombre,,0,0,113056,26.0,A19,2,,,"Streatham, Surrey"
1,1,"Newsom, Miss. Helen Monypeny",mujer,19,0,2,11752,26.28,D47,2,5,,"New York, NY"
1,1,"Calderhead, Mr. Edward Pennington",hombre,42,0,0,PC 17476,26.29,E24,2,5,,"New York, NY"
1,1,"McGough, Mr. James Robert",hombre,36,0,0,PC 17473,26.29,E25,2,7,,"Philadelphia, PA"
1,1,"Silverthorne, Mr. Spencer Victor",hombre,35,0,0,PC 17475,26.29,E24,2,5,,"St Louis, MO"
1,1,"Flynn, Mr. John Irwin (Irving)",hombre,36,0,0,PC 17474,26.39,E25,2,5,,"Brooklyn, NY"
1,1,"Anderson, Mr. Harry",hombre,48,0,0,19952,26.55,E12,2,3,,"New York, NY"
1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",hombre,28,0,0,110564,26.55,C52,2,D,,"Stockholm, Sweden / Washington, DC"
1,1,"Bonnell, Miss. Elizabeth",mujer,58,0,0,113783,26.55,C103,2,8,,"Birkdale, England Cleveland, Ohio"
1,0,"Borebank, Mr. John James",hombre,42,0,0,110489,26.55,D22,2,,,"London / Winnipeg, MB"
1,1,"Bradley, Mr. George (George Arthur Brayton)",hombre,,0,0,111427,26.55,,2,9,,"Los Angeles, CA"
1,0,"Butt, Major. Archibald Willingham",hombre,45,0,0,113050,26.55,B38,2,,,"Washington, DC"
1,0,"Crafton, Mr. John Bertram",hombre,,0,0,113791,26.55,,2,,,"Roachdale, IN"
1,1,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",mujer,64,1,1,112901,26.55,B26,2,7,,"Milwaukee, WI"
1,1,"Daly, Mr. Peter Denis",hombre,51,0,0,113055,26.55,E17,2,5 9,,"Lima, Peru"
1,0,"Franklin, Mr. Thomas Parham",hombre,,0,0,113778,26.55,D34,2,,,"Westcliff-on-Sea, Essex"
1,1,"Homer, Mr. Harry (Mr E Haven)",hombre,35,0,0,111426,26.55,,1,15,,"Indianapolis, IN"
1,0,"Klaber, Mr. Herman",hombre,,0,0,113028,26.55,C124,2,,,"Portland, OR"
1,0,"Lindeberg-Lind, Mr. Erik Gustaf (Mr Edward Lingrey)",hombre,42,0,0,17475,26.55,,2,,,"Stockholm, Sweden"
1,0,"Millet, Mr. Francis Davis",hombre,65,0,0,13509,26.55,E38,2,,249,"East Bridgewater, MA"
1,1,"Romaine, Mr. Charles Hallace (Mr C Rolmane)",hombre,45,0,0,111428,26.55,,2,9,,"New York, NY"
1,0,"Rowe, Mr. Alfred G",hombre,33,0,0,113790,26.55,,2,,109,London
1,1,"Seward, Mr. Frederic Kimber",hombre,34,0,0,113794,26.55,,2,7,,"New York, NY"
1,0,"Smart, Mr. John Montgomery",hombre,56,0,0,113792,26.55,,2,,,"New York, NY"
1,0,"Stead, Mr. William Thomas",hombre,62,0,0,113514,26.55,C87,2,,,"Wimbledon Park, London / Hayling Island, Hants"
1,0,"Weir, Col. John",hombre,60,0,0,113800,26.55,,2,,,"England Salt Lake City, Utah"
1,1,"Willard, Miss. Constance",mujer,21,0,0,113795,26.55,,2,8 10,,"Duluth, MN"
1,0,"Wright, Mr. George",hombre,62,0,0,113807,26.55,,2,,,"Halifax, NS"
1,1,"Candee, Mrs. Edward (Helen Churchill Hungerford)",mujer,53,0,0,PC 17606,27.45,,1,6,,"Washington, DC"
1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",mujer,44,0,0,PC 17610,27.72,B4,1,6,,"Denver, CO"
1,1,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",mujer,,0,0,17770,27.72,,1,5,,"New York, NY"
1,1,"Frauenthal, Mr. Isaac Gerald",hombre,43,1,0,17765,27.72,D40,1,5,,"New York, NY"
1,0,"Lewy, Mr. Ervin G",hombre,,0,0,PC 17612,27.72,,1,,,"Chicago, IL"
1,1,"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",mujer,55,0,0,112377,27.72,,1,6,,"Stockholm, Sweden"
1,0,"Ovies y Rodriguez, Mr. Servando",hombre,28,0,0,PC 17562,27.72,D43,1,,189,"?Havana, Cuba"
1,1,"Rosenbaum, Miss. Edith Louise",mujer,33,0,0,PC 17613,27.72,A11,1,11,,"Paris, France"
1,0,"Stewart, Mr. Albert A",hombre,,0,0,PC 17605,27.72,,1,,,"Gallipolis, Ohio / ? Paris / New York"
1,0,"Uruchurtu, Don. Manuel E",hombre,40,0,0,PC 17601,27.72,,1,,,"Mexico City, Mexico"
1,0,"Foreman, Mr. Benjamin Laventall",hombre,30,0,0,113051,27.75,C111,1,,,"New York, NY"
1,1,"Gracie, Col. Archibald IV",hombre,53,0,0,113780,28.5,C51,1,B,,"Washington, DC"
1,0,"Partner, Mr. Austen",hombre,45,0,0,113043,28.5,C124,2,,166,"Surbiton Hill, Surrey"
1,1,"Tucker, Mr. Gilbert Milligan Jr",hombre,31,0,0,2543,28.54,C53,1,7,,"Albany, NY"
1,0,"Isham, Miss. Ann Elizabeth",mujer,50,0,0,PC 17595,28.71,C49,1,,,"Paris, France New York, NY"
1,1,"Chevre, Mr. Paul Romaine",hombre,45,0,0,PC 17594,29.7,A9,1,7,,"Paris, France"
1,0,"Dulles, Mr. William Crothers",hombre,39,0,0,PC 17580,29.7,A18,1,,133,"Philadelphia, PA"
1,0,"Kent, Mr. Edward Austin",hombre,58,0,0,11771,29.7,B37,1,,258,"Buffalo, NY"
1,1,"Marechal, Mr. Pierre",hombre,,0,0,11774,29.7,C47,1,7,,"Paris, France"
1,0,"Natsch, Mr. Charles H",hombre,37,0,1,PC 17596,29.7,C118,1,,,"Brooklyn, NY"
1,1,"Barkworth, Mr. Algernon Henry Wilson",hombre,80,0,0,27042,30.0,A23,2,B,,"Hessle, Yorks"
